"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"< 1 year"	"1"	581	126242	460.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"1-4 years"	"1-4"	63	532142	11.8
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"5-9 years"	"5-9"	71	730101	9.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"10-14 years"	"10-14"	68	792251	8.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"15-19 years"	"15-19"	172	864047	19.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"20-24 years"	"20-24"	310	801789	38.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"25-34 years"	"25-34"	820	1514707	54.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"35-44 years"	"35-44"	1569	1610671	97.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"45-54 years"	"45-54"	4645	1993332	233.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"55-64 years"	"55-64"	8511	1726446	493.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"65-74 years"	"65-74"	13466	1094609	1230.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"75-84 years"	"75-84"	24624	665601	3699.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Female"	"F"	"85+ years"	"85+"	53126	414708	12810.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Male"	"M"	"< 1 year"	"1"	716	132042	542.3
